BARCODE;NAMEKH;NAMEEN;NOTE;COST;VENDORID
8850722092928;ហ៊្វូមលាងមុខទឹកដោះគោ  Milky Cleansing Foam;Milk face wash  Milky Cleansing Foam;190 g;1.0000;4
8850722663838;ម្សៅផាត់មុខ  Double Beauty;Face powder  Double Beauty;23.30 g;2.5000;4
8850518020272;ស្ព្រៃបាញ់សក់  DIPSO Spray Net;Hair spray  DIPSO Spray Net;220 ml;1.7500;4
8850518080207;ស្ព្រៃបាញ់សក់  DIPSO Spray Net;Hair spray  DIPSO Spray Net;220 ml;1.7500;4
8850518020289;ស្ព្រៃបាញ់សក់  DIPSO Spray Net;Hair spray  DIPSO Spray Net;220 ml;1.7500;4
8858994400182;ទឹកលាងផ្ទៃមុខ  ក្រោយផាត់មុខ   Sivanna Colors (Rose);Facial cleanser  After makeup  Sivanna Colors (Rose);180 ml;1.6111;4
8850722092027;ហ្វូមលាងមុខកំចាត់  ជាតិខ្លាញ់;Facial cleansing foam;210 ml;1.0833;4
8850722092751;ហ្វូមលាងមុខប្រទាល  កន្ទុយក្រពើ;Aloe Vera Cleansing balm foam;150 g;1.0833;4
8859178713272;ជែលលាងមុខក្លិនប្រទាល;Balsam Cleansing Gel;100 g;1.3333;4
8858842063217;ក្រែមលាបបបូរមាត់ #18  Baby Bright (Dry Rose);Lip Cream # 18  Baby Bright (Dry Rose);No. 18 ( 2.4 g );1.3399;4
8858842063224;ក្រែមលាបបបូរមាត់ #19  (Pomegranate);Lip Cream # 19  (Pomegranate);No. 19 ( 2.4 g );1.3399;4
8858842063170;ក្រែមលាបបបូរមាត់ #14  (Paprika);Lip Cream # 14  (Paprika);No. 14 ( 2.4 g );1.3399;4
8858842063149;ក្រែមលាបបបូរមាត់ #11  (Dry Halabong);Lip Cream # 11  (Dry Halabong);No. 11 ( 2.4 g );1.3888;4
8858842051849;ក្រែមលាបបបូរមាត់ #05  (Just Peach);Lip Cream # 05  (Just Peach);No. 05 ( 2.4 g );1.3399;4
8858842051825;ក្រែមលាបបបូរមាត់ #03  (Deep Sea Coral);Lip Cream # 03  (Deep Sea Coral);No. 03 ( 2.4 g );1.3399;4
8859337603284;ម៉ាសបិទមុខ  Aloe Vera;Face mask  Aloe Vera;1 Box x 10 pcs  1 pcs = 30 g;0.3529;4
8809777420033;សេរ៉ូមលាបស្បែកជួយ  ការពារពន្លឺព្រះអាទិត្យ ម៉ាសបិទមុខ;Hydra-Soothing fluid, a non-greasy moisturizing milk;138 g;4.8333;4
