Item Code;ORDER POINT;ORDER POINT
3760156560144;6;6
9311769050009;6;6
3182520252071;6;6
9310297012640;6;12
9310297013449;6;12
12354071834;6;12
12354001046;6;6
12354001121;6;12
853065000115;6;6
3760206801623;6;6
6001497600579;6;6
3258561330112;6;6
3159560510300;6;12
3159567000552;6;12
8008900004014;6;12
8008900006230;6;6
3211209218630;6;6
3182520272772;6;6
3211201050856;6;6
3251091602865;6;6
3182520314090;6;6
3295890209559;6;6
7804320061818;6;6
9311043078309;6;6
9311043078293;6;6
9311043078286;6;6
3263286301323;6;6
3500610014789;6;6
3339001100714;6;6
3211209123743;6;6
3500610005503;6;6
3500610005527;6;6
3274030014369;6;6
9310297015023;6;6
9310297009473;6;6
9310297009459;6;6
9310297009428;6;6
3262151099754;6;6
3258561340371;6;6
3180280417815;6;6
6001108006745;6;6
7804320529233;6;6
7804320365503;6;6
7804320090313;6;6
3262151637758;6;6
6900463003959;6;12
20900199991984;6;12
9310297018161;6;12
344366001296;6;12
6900463000507;6;12
3192371126803;6;12
7804320034676;6;12
3159560603279;6;12
8034115192949;6;12
3182520185379;6;12
8936023250851;6;12
7804320055046;6;12
7804645041274;6;12
7804634121437;6;12
8936023250486;6;12
8936023250073;6;12
7804634121420;6;12
9310297009206;6;12
9310297009329;6;12
7790762050292;6;12
7804320063010;6;12
8008900001525;6;12
3443660005430;6;12
3443660003696;6;12
3443660014289;6;12
9310297017515;6;12
3443660010878;6;12
9310297017461;6;12
9310297015283;6;12
9310297017935;6;12
9310297015740;6;12
86003780323;6;12
86003780316;6;12
9310578058008;4;10
9310578602331;4;10
8001929150397;4;10
8009489050065;4;10
85000006993;4;4
3500610027468;4;4
3250390388364;4;4
3531380070101;4;4
3569190045347;4;4
3186122149166;4;4
3198129274826;4;4
3112720710231;4;4
85000003091;4;20
85000003015;4;20
85000001233;4;20
3339001300312;3;6
3339001400739;3;12
3035131119359;3;12
7804634121291;3;6
7804634121277;3;6
9322214008988;3;12
9322214009060;3;12
9322214010523;3;12
9322214007400;3;12
7804462001031;3;12
8008900008814;3;6
3760089150221;3;6
7804634121383;3;6
7804634122144;3;6
7804634122151;3;6
3176780102559;3;6
3760206805263;3;6
3333780204427;3;6
85000005217;3;6
85000005460;3;6
3263286345518;3;6
8008530016500;3;6
3258561341118;3;6
7804634121451;3;6
3182520171105;3;6
3258561340043;3;6
85000028384;3;6
7804634121482;3;6
3258561340494;3;6
3500610033711;3;6
3500610012051;3;6
8437001019663;3;6
8437001019656;3;6
8849301530012;3;6
3500610061257;3;6
7804634122649;3;6
3258561330013;3;6
8437001019182;3;6
3258561340456;3;6
7804462001055;3;6
8008900007237;3;6
3258561330853;3;6
87872633369;3;6
