119;4901515368523;KIKKOMAN dipping seasoning sauce 150ml;ANNAM CAMBODIA COMPANY;100-015;9;2025-12-06;RETURN;G02A-C04-L4;90
120;4901515369568;KIKKOMAN sauce (stir fry rice) 150ml;ANNAM CAMBODIA COMPANY;100-015;3;2024-10-03;RETURN;G02A-C04-L4;90
121;4901515118197;KIKKOMAN soy sauce (all-purpose natural brewed) 250ml;ANNAM CAMBODIA COMPANY;100-015;11;2026-06-01;RETURN;G02A-C04-L6;90
122;4901515359330;KIKKOMAN soy sauce (japanese grill teriyaki) 250ml;ANNAM CAMBODIA COMPANY;100-015;6;2026-03-06;RETURN;G02A-C04-L6;90
123;4901515129902;KIKKOMAN soy sauce (less salt all-purpose) 250ml;ANNAM CAMBODIA COMPANY;100-015;8;2026-06-14;RETURN;G02A-C04-L6;90
124;4901515349621;KIKKOMAN soy sauce (multi-purpose tempura&noodle) 250ml;ANNAM CAMBODIA COMPANY;100-015;25;2025-08-05;RETURN;G02A-C04-L6;90
125;4901515118425;KIKKOMAN soy sauce (natural brewed) 1.6L;ANNAM CAMBODIA COMPANY;100-015;4;2025-02-03;RETURN;G02A-C04-L1;90
126;4901515118128;KIKKOMAN soy sauce (natural brewed) 1L;ANNAM CAMBODIA COMPANY;100-015;10;2024-06-10;RETURN;G02A-C05-L1;90
127;4901515129896;KIKKOMAN soy sauce (sushi & sashimi) 250ml;ANNAM CAMBODIA COMPANY;100-015;20;2025-09-27;RETURN;G02A-C04-L6;90
128;4901515331794;KIKKOMAN soy sauce (teriyaki marinade original flavour) 250ml;ANNAM CAMBODIA COMPANY;100-015;5;2026-04-21;RETURN;G02A-C04-L6;90
129;4901515369544;KIKKOMAN soy sauce (teriyaki) 150ml;ANNAM CAMBODIA COMPANY;100-015;3;2025-06-19;RETURN;G02A-C04-L4;90
130;4901515339813;KIKKOMAN thick sauce (teriyaki marinade for bbq&grill) 250ml;ANNAM CAMBODIA COMPANY;100-015;9;2025-07-24;RETURN;G02A-C03-L4;90
131;3092718580032;KIWI SYRUB 1L;ANNAM CAMBODIA COMPANY;100-015;11;2024-09-30;RETURN;G05B-C05-L1;90
132;4012200221808;KUHNE american mustard creamy mild 255g;ANNAM CAMBODIA COMPANY;100-015;3;2024-07-15;RETURN;G03A-C01-L6;90
133;40122113;KUHNE mustard extra hot picante 260g;ANNAM CAMBODIA COMPANY;100-015;9;2024-07-11;RETURN;G03A-C02-L5;90
134;4012200222102;KUHNE mustard medium hot 255g;ANNAM CAMBODIA COMPANY;100-015;12;2024-06-15;RETURN;G03A-C01-L6;90
135;40122342;KUHNE mustard medium hot 255g;ANNAM CAMBODIA COMPANY;100-015;7;2024-08-10;RETURN;G03A-C02-L5;90
136;8935134590023;LATINO BELLA cooking oil (extra virgin olive oil) 500ml;ANNAM CAMBODIA COMPANY;100-015;12;2026-05-15;RETURN;G03A-C00-L4;90
137;3178530402988;LEMON TARTLETS 125g;ANNAM CAMBODIA COMPANY;100-015;6;2024-05-05;RETURN;G06A-C06-L3;90
138;7610400014038;Lindt Classic Swiss Milk Chocolate;ANNAM CAMBODIA COMPANY;100-015;6;2024-08-13;RETURN;G07B-C02-L3;90
139;3046920028004;LINDT Excellence 70% dark chocolate 100g;ANNAM CAMBODIA COMPANY;100-015;10;2024-06-30;RETURN;G07B-C02-L3;90
140;3046920028363;LINDT EXCELLENCE 85% cacao original swiss chocolate 100g;ANNAM CAMBODIA COMPANY;100-015;8;2024-10-31;RETURN;G07B-C02-L3;90
141;3046920028752;Lindt Excellence Bar Mint Intense 100g;ANNAM CAMBODIA COMPANY;100-015;7;2024-05-29;RETURN;G07B-C02-L3;90
142;3046920029674;LINDT Excellence sea salt dark chocolate 100g;ANNAM CAMBODIA COMPANY;100-015;5;2024-05-14;RETURN;G07B-C02-L3;90
143;7610400074155;Lindt Lindor Dark Chocolate 100g;ANNAM CAMBODIA COMPANY;100-015;24;2024-06-30;RETURN;G07B-C02-L2;90
144;7610400010108;LINDT SWISS Classic dark chocolate 100g;ANNAM CAMBODIA COMPANY;100-015;17;2024-09-13;RETURN;G07B-C02-L3;90
145;7610400010023;LINDT SWISS Classic milk white chocolate with almond 100g;ANNAM CAMBODIA COMPANY;100-015;7;2024-06-30;RETURN;G07B-C02-L3;90
146;7610400010016;LINDT SWISS Classic tab milk chocolate 100g;ANNAM CAMBODIA COMPANY;100-015;16;2024-09-30;RETURN;G07B-C02-L3;90
147;7610400014571;LINDT SWISS Classic white chocolate 100g;ANNAM CAMBODIA COMPANY;100-015;15;2024-07-31;RETURN;G07B-C02-L2;90
148;8000380202621;Loacker Cheese 110g;ANNAM CAMBODIA COMPANY;100-015;19;2024-08-27;RETURN;G06A-C07-L4;90
149;80001263;LOACKER CLASSIC CREMKAKAO 45g;ANNAM CAMBODIA COMPANY;100-015;26;2024-08-20;RETURN;G06A-C07-L5;90
150;80001218;LOACKER CLASSIC NAPOLITANER 45g;ANNAM CAMBODIA COMPANY;100-015;6;2025-01-13;RETURN;G06A-C07-L5;90
151;80001157;Loacker Classic Peanut Butter;ANNAM CAMBODIA COMPANY;100-015;21;2025-01-11;RETURN;G06A-C07-L5;90
152;80001249;LOACKER CLASSIC VANILLE 45g;ANNAM CAMBODIA COMPANY;100-015;29;2024-08-13;RETURN;G06A-C07-L5;90
153;8000380205875;Loacker Minis Peanut Butter;ANNAM CAMBODIA COMPANY;100-015;7;2025-01-12;RETURN;G06A-C07-L3;90
154;8000380005963;LOACKER QUADRATINI CHOCOLATE 125g;ANNAM CAMBODIA COMPANY;100-015;2;2025-01-13;RETURN;G06A-C07-L4;90
155;8000380205486;Loacker Quadratini Peanut Butter;ANNAM CAMBODIA COMPANY;100-015;11;2024-12-27;RETURN;G06A-C07-L4;90
156;8000380205400;Loacker Quadratini Peanut Butter 6 x 250g;ANNAM CAMBODIA COMPANY;100-015;5;2025-01-03;RETURN;G06A-C07-L4;90
157;8000380140541;Loacker Quadratini Tiramisu 110g;ANNAM CAMBODIA COMPANY;100-015;6;2025-03-11;RETURN;G06A-C07-L4;90
158;8714100897935;MAILLE DIJON ORIGINALE MUSTARD 215g;ANNAM CAMBODIA COMPANY;100-015;7;2024-04-03;RETURN;G03A-C02-L5;90
159;8714100897805;MAILLE WHOLEGRAIN MUSTARD 210g;ANNAM CAMBODIA COMPANY;100-015;9;2024-07-10;RETURN;G03A-C02-L5;90
160;523461;MARJORAM LEAVES WHOLE 5g;ANNAM CAMBODIA COMPANY;100-015;21;2024-09-23;RETURN;G01B-C05-L6;90
